grade,subject,year,FIPS,white,black,hispanic,asian,amind,multirace_unclass,free_lunch,red_lunch,miss_lunch,no_freelunch,combo_pct_free_lunch,combo_pct_red_lunch,combo_pct_miss_lunch,lep,sped,testage,nonEnglish_neverathome,nonEnglish_sometimesathome,nonEnglish_alwaysathome,nonEnglish_miss,unadj_score,adj_race_03,adj_lunch_03,adj_LEP_03,adj_SPED_03,adj_age_03,adj_Enlang_03,adj_racelunch_03,adj_raceLEP_03,adj_raceSPED_03,adj_raceage_03,adj_raceEnlang_03,adj_lunchLEP_03,adj_lunchSPED_03,adj_lunchage_03,adj_lunchEnlang_03,adj_LEPSPED_03,adj_LEPage_03,adj_LEPEnlang_03,adj_SPEDage_03,adj_SPEDEnlang_03,adj_ageEnlang_03,adj_racelunchLEP_03,adj_racelunchSPED_03,adj_racelunchage_03,adj_racelunchEnlang_03,adj_raceLEPSPED_03,adj_raceLEPage_03,adj_raceLEPEnlang_03,adj_raceSPEDage_03,adj_raceSPEDEnlang_03,adj_raceageEnlang_03,adj_lunchLEPSPED_03,adj_lunchLEPage_03,adj_lunchLEPEnlang_03,adj_lunchSPEDage_03,adj_lunchSPEDEnlang_03,adj_lunchageEnlang_03,adj_LEPSPEDage_03,adj_LEPSPEDEnlang_03,adj_LEPageEnlang_03,adj_SPEDageEnlang_03,adj_racelunchLEPSPED_03,adj_racelunchLEPage_03,adj_racelunchLEPEnlang_03,adj_racelunchSPEDage_03,adj_racelunchSPEDEnlang_03,adj_racelunchageEnlang_03,adj_raceLEPSPEDage_03,adj_raceLEPSPEDEnlang_03,adj_raceLEPageEnlang_03,adj_raceSPEDageEnlang_03,adj_lunchLEPSPEDage_03,adj_lunchLEPSPEDEnlang_03,adj_lunchLEPageEnlang_03,adj_lunchSPEDageEnlang_03,adj_LEPSPEDageEnlang_03,adj_racelunchLEPSPEDage_03,adj_racelunchLEPSPEDEnlang_03,adj_racelunchLEPageEnlang_03,adj_racelunchSPEDageEnlang_03,adj_raceLEPSPEDageEnlang_03,adj_lunchLEPSPEDageEnlang_03,adj_racelunchLEPSPEDageEnlang_03,adj_Clunch_03,adj_raceClunch_03,adj_ClunchLEP_03,adj_ClunchSPED_03,adj_Clunchage_03,adj_ClunchEnlang_03,adj_raceClunchLEP_03,adj_raceClunchSPED_03,adj_raceClunchage_03,adj_raceClunchEnlang_03,adj_ClunchLEPSPED_03,adj_ClunchLEPage_03,adj_ClunchLEPEnlang_03,adj_ClunchSPEDage_03,adj_ClunchSPEDEnlang_03,adj_ClunchageEnlang_03,adj_raceClunchLEPSPED_03,adj_raceClunchLEPage_03,adj_raceClunchLEPEnlang_03,adj_raceClunchSPEDage_03,adj_raceClunchSPEDEnlang_03,adj_raceClunchageEnlang_03,adj_ClunchLEPSPEDage_03,adj_ClunchLEPSPEDEnlang_03,adj_ClunchLEPageEnlang_03,adj_ClunchSPEDageEnlang_03,adj_raceClunchLEPSPEDage_03,adj_raceClunchLEPSPEDEnlang_03,adj_raceClunchLEPageEnlang_03,adj_raceClunchSPEDageEnlang_03,adj_ClunchLEPSPEDageEnlang_03,adj_raceCluncLEPSPEDageEnlang_03,adj_race,adj_lunch,adj_LEP,adj_SPED,adj_age,adj_Enlang,adj_racelunch,adj_raceLEP,adj_raceSPED,adj_raceage,adj_raceEnlang,adj_lunchLEP,adj_lunchSPED,adj_lunchage,adj_lunchEnlang,adj_LEPSPED,adj_LEPage,adj_LEPEnlang,adj_SPEDage,adj_SPEDEnlang,adj_ageEnlang,adj_racelunchLEP,adj_racelunchSPED,adj_racelunchage,adj_racelunchEnlang,adj_raceLEPSPED,adj_raceLEPage,adj_raceLEPEnlang,adj_raceSPEDage,adj_raceSPEDEnlang,adj_raceageEnlang,adj_lunchLEPSPED,adj_lunchLEPage,adj_lunchLEPEnlang,adj_lunchSPEDage,adj_lunchSPEDEnlang,adj_lunchageEnlang,adj_LEPSPEDage,adj_LEPSPEDEnlang,adj_LEPageEnlang,adj_SPEDageEnlang,adj_racelunchLEPSPED,adj_racelunchLEPage,adj_racelunchLEPEnlang,adj_racelunchSPEDage,adj_racelunchSPEDEnlang,adj_racelunchageEnlang,adj_raceLEPSPEDage,adj_raceLEPSPEDEnlang,adj_raceLEPageEnlang,adj_raceSPEDageEnlang,adj_lunchLEPSPEDage,adj_lunchLEPSPEDEnlang,adj_lunchLEPageEnlang,adj_lunchSPEDageEnlang,adj_LEPSPEDageEnlang,adj_racelunchLEPSPEDage,adj_racelunchLEPSPEDEnlang,adj_racelunchLEPageEnlang,adj_racelunchSPEDageEnlang,adj_raceLEPSPEDageEnlang,adj_lunchLEPSPEDageEnlang,adj_racelunchLEPSPEDageEnlang,adj_Clunch,adj_raceClunch,adj_ClunchLEP,adj_ClunchSPED,adj_Clunchage,adj_ClunchEnlang,adj_raceClunchLEP,adj_raceClunchSPED,adj_raceClunchage,adj_raceClunchEnlang,adj_ClunchLEPSPED,adj_ClunchLEPage,adj_ClunchLEPEnlang,adj_ClunchSPEDage,adj_ClunchSPEDEnlang,adj_ClunchageEnlang,adj_raceClunchLEPSPED,adj_raceClunchLEPage,adj_raceClunchLEPEnlang,adj_raceClunchSPEDage,adj_raceClunchSPEDEnlang,adj_raceClunchageEnlang,adj_ClunchLEPSPEDage,adj_ClunchLEPSPEDEnlang,adj_ClunchLEPageEnlang,adj_ClunchSPEDageEnlang,adj_raceClunchLEPSPEDage,adj_raceClunchLEPSPEDEnlang,adj_raceClunchLEPageEnlang,adj_raceClunchSPEDageEnlang,adj_ClunchLEPSPEDageEnlang,adj_raceCluncLEPSPEDageEnlang
8th grade,reading,1998,ALABAMA,37.0%,7.7%,0.0%,26.1%,0.0%,1.9%,7.8%,10.9%,0.0%,34.6%,32.2%,0.0%,0.7%,0.0%,24.1%,13.881761,104.8%,33.5%,4.4%,23.8%,254.76375,244.07901,258.65472,250.45998,261.20868,249.35681,256.00235,262.72507,249.2278,265.10815,267.8829,254.62909,258.79639,252.93164,249.06567,253.78453,244.12555,249.21063,240.43051,259.79544,255.16801,245.92053,247.72633,265.73587,252.56821,244.52481,248.92598,248.44551,255.23291,260.87128,251.12708,252.30096,251.29532,254.09196,255.23904,253.9476,247.57953,252.60768,255.39915,247.12157,245.12476,252.74135,244.58626,268.72107,265.61279,249.25497,257.30771,252.78006,251.34692,244.29222,248.03552,262.776,263.93942,253.22891,260.91528,260.49963,253.77878,244.82825,248.34048,248.44257,261.51602,258.92856,258.34601,243.39162,254.64273,250.86487,266.22253,253.65276,252.17952,264.03522,244.34428,258.12128,249.22119,246.80013,243.20616,261.85513,253.53328,249.09619,244.24707,266.3179,264.79874,258.47488,259.98422,247.14406,251.5154,259.68933,253.03659,251.01875,250.01109,244.08333,247.13417,256.88632,262.48431,248.98671,243.27151,245.05624,246.31146,265.59384,257.3414,251.8723,256.13266,243.62337,263.10709,250.62447,266.95734,268.29184,263.73724,262.00156,256.39142,268.14664,259.44205,253.65413,251.56419,242.78285,259.19788,245.58003,254.59886,254.6631,263.80606,249.78537,261.41492,253.74074,252.73091,244.0636,258.02264,246.92374,264.2171,247.32848,246.42345,247.69759,248.17673,251.27081,246.50735,264.26602,243.0211,254.53958,265.61301,263.79214,260.73343,258.54059,267.27972,244.56958,253.75139,249.15929,246.58722,254.85713,264.28198,251.41939,250.89546,264.12021,261.06821,245.85074,248.16908,253.72672,265.93738,264.78046,253.05164,265.75885,261.92673,255.56795,246.90787,248.55177,248.12672,254.51073,249.29233,249.10765,245.61578,260.004,252.11713,259.34381,244.87289,263.66992,256.9035,258.15802,266.11224,248.49745,263.90991,266.59647,267.78412,267.39325,264.30356,255.69113,260.21591,252.27516,265.33798,251.84178,245.58299,253.17667,249.53824,264.64023,248.97501
8th grade,reading,2002,ALABAMA,44.3%,33.4%,0.5%,0.0%,0.0%,20.9%,62.2%,4.5%,22.4%,38.9%,36.3%,18.5%,41.8%,0.0%,13.7%,13.932137,57.1%,40.5%,0.0%,0.0%,241.6067,258.53278,265.55408,249.55502,258.24518,254.11499,253.52133,259.8093,243.22995,262.69812,248.04436,265.75894,242.03485,248.30721,254.6788,249.3577,246.16061,248.80624,245.28687,242.79883,261.12836,264.28796,248.81049,259.93893,263.49582,253.91678,258.50906,255.54366,250.09851,251.72153,248.81577,256.01926,249.85948,244.52443,258.94672,245.75681,266.18378,248.64455,248.68619,247.87886,250.12727,258.57895,263.26633,262.0257,254.43762,266.52283,248.82608,266.91675,252.50101,262.29584,250.46284,255.45924,263.91837,249.99762,252.53824,264.70975,258.84894,259.44992,269.20486,263.26526,253.73087,249.21756,261.44974,247.3533,254.1412,263.4985,248.50009,249.54054,248.97466,254.50911,247.2028,247.96867,265.32974,259.17426,259.76352,250.02603,258.25,249.52184,250.43771,253.21629,252.74847,252.8475,267.32233,261.7887,255.35199,260.49896,243.94815,252.50443,262.91187,247.23299,247.33194,248.42511,249.61255,263.09439,245.56795,267.90521,253.16148,259.431,251.01439,244.44064,257.5686,251.75745,267.81726,245.6291,260.52417,258.01431,266.44196,257.33395,258.5574,247.96893,260.16647,260.89865,250.2495,252.06758,254.69469,258.74472,241.85861,255.79503,248.24326,253.43536,265.03595,257.17963,264.37222,264.51675,268.56808,250.76694,259.39609,254.03448,254.38892,243.01984,269.06122,264.439,254.60126,253.5992,249.2903,257.06586,246.39967,253.66147,249.30705,266.45932,260.87674,262.44156,258.61435,254.33304,252.42856,258.43124,269.07104,254.66652,254.87544,264.25995,264.53806,258.16177,251.04074,260.97363,246.52362,266.66595,261.27399,267.37997,251.42487,258.02484,250.45828,245.54543,260.96167,261.11282,263.5759,244.52954,259.40826,248.82556,247.57211,254.92754,264.15176,255.34856,249.12286,244.5399,247.90428,253.57523,260.14307,258.76047,265.13965,264.06509,261.00073,260.55331,246.0266,265.8425,259.83945,267.1687,265.81189,248.57246,269.58109,258.34805,266.72906
8th grade,reading,2003,ALABAMA,54.3%,44.4%,0.0%,0.0%,0.0%,0.0%,49.6%,0.0%,0.0%,74.2%,67.8%,21.5%,1.7%,29.9%,0.0%,13.900758,67.8%,0.0%,31.7%,14.8%,247.61543,254.61253,251.91647,256.3378,254.08862,255.90726,262.81018,260.87686,256.25839,256.06241,255.00307,257.14389,264.31226,252.39392,251.80722,246.47951,243.85089,246.62045,247.5558,249.80138,263.19904,243.27452,247.07401,251.54065,256.88132,267.05255,258.78729,259.06628,252.19247,252.1801,244.90326,252.20595,250.74007,247.55862,256.29211,254.08212,242.89163,253.53154,254.65746,244.44458,246.01431,242.5896,247.18733,251.82823,264.80627,257.02557,243.84563,250.70004,260.99304,246.29478,253.93486,252.65405,257.45477,255.92398,245.74174,261.29636,243.55023,254.81702,258.13464,255.25922,246.13245,254.40471,258.59665,261.21664,257.69867,262.35388,253.07457,254.92455,267.0874,251.53175,250.2114,246.41261,248.3331,250.60214,253.90977,258.83829,262.46481,256.88113,251.76799,247.0471,263.37354,247.86325,255.59369,263.72339,248.76721,255.37878,262.36569,248.77437,252.64175,257.39465,261.6741,244.41142,258.7489,255.53748,255.88763,247.53091,252.58409,245.66673,251.74605,257.25952,262.62683,262.98346,248.94949,244.4671,250.80331,244.46025,250.23036,260.8634,250.45244,268.83646,254.07491,262.54355,249.5966,260.59552,247.26447,242.23561,263.20657,250.19957,251.1611,265.75391,254.55472,263.21542,267.54938,242.2034,247.55347,256.85263,262.97394,249.73746,260.77478,251.98695,255.85506,265.32159,247.21083,251.76923,247.10922,251.45731,251.15001,246.55905,266.27881,253.71791,254.65288,263.64346,257.40756,246.64453,260.56714,259.70227,259.73346,253.52237,251.52873,256.31406,246.81689,254.76173,261.96185,243.92221,247.30327,257.03729,258.39264,261.53546,244.85632,251.00079,250.42264,250.33914,244.41452,260.63937,255.5479,249.93646,247.56,246.39957,258.62265,246.79021,267.21738,262.85886,254.35907,258.68817,256.75916,250.7243,254.35249,253.84961,266.26309,262.4704,264.02942,259.97592,242.9805,266.39175,256.71017,258.65536,246.07904,255.94373,264.24359,256.41528,264.96655
8th grade,reading,2005,ALABAMA,38.1%,29.7%,0.0%,30.7%,9.8%,5.4%,16.1%,0.0%,10.9%,76.9%,50.3%,0.0%,0.8%,0.0%,12.1%,14.393647,101.8%,20.3%,16.7%,0.0%,261.81296,246.91605,250.79425,258.38123,254.12299,263.06055,251.70198,246.56793,258.50256,254.05792,243.77676,247.91048,264.08868,265.97607,257.39423,246.00702,243.52373,242.19533,252.61414,258.03235,247.48158,263.95108,258.38434,261.13467,269.08231,250.62779,250.58412,257.25909,263.37683,259.61969,258.89093,256.44376,260.90897,248.30968,258.11197,259.17908,260.16629,249.42133,258.45889,248.72226,241.14081,256.11621,244.95935,257.30029,256.69748,262.49557,251.17296,255.90184,262.6785,254.35078,245.35083,255.56488,247.78691,255.56133,253.423,255.43193,243.10641,251.9976,253.96791,259.14575,257.05594,259.96902,243.81586,267.01697,251.10013,246.67139,261.46112,264.08337,245.04443,245.9458,263.68423,246.31529,266.30023,251.1662,264.34381,251.92316,263.36475,266.94409,256.75192,261.08136,249.1144,260.51324,252.40352,245.17197,266.84879,263.68057,252.89464,249.89899,260.29471,266.53455,254.74449,263.67981,255.80421,246.61539,246.48546,248.15372,249.02548,245.69,246.60399,246.46695,258.54166,253.36241,264.03214,260.44116,260.96631,263.22192,260.86292,259.8338,264.38446,246.15994,259.35504,255.27338,245.35246,259.95816,246.40527,259.56296,240.83202,262.1409,248.51427,256.55789,265.40302,244.32654,246.01929,264.15598,251.90207,253.61345,258.56097,243.96347,263.46603,263.2197,245.27069,248.14375,253.94534,246.65604,261.72058,262.28729,253.37036,258.88217,246.59941,261.20605,256.35599,245.2068,254.9269,261.14511,258.16714,259.93008,256.36053,248.9621,262.26108,260.14355,254.51569,256.99011,266.74768,261.97638,252.89561,246.13904,259.38266,254.7737,247.5433,245.39832,259.66422,242.32956,250.28674,249.26479,246.53825,254.50812,261.26132,253.94185,245.71693,256.38522,258.55545,242.63765,261.70972,252.39659,260.08817,262.11774,255.81198,249.72752,259.42334,260.97339,254.96327,256.99109,258.83939,253.7424,243.78006,266.29553,264.12839,250.78444,265.20074,259.39926,252.6404
8th grade,reading,2007,ALABAMA,64.5%,30.3%,3.0%,15.3%,0.0%,0.0%,11.0%,9.4%,0.0%,76.2%,67.8%,5.4%,9.5%,24.7%,0.0%,14.243944,66.7%,0.0%,0.0%,0.0%,247.10663,249.57449,249.4935,252.37611,254.00607,247.22702,240.55949,244.88145,260.63324,242.17522,255.2863,257.68124,247.36215,253.35629,253.80725,256.63629,243.20355,262.12054,259.40662,245.50984,260.77362,247.32396,257.34579,253.62541,258.56415,256.78198,261.84335,244.34511,246.07745,258.58813,249.66974,252.57758,249.80164,263.02075,251.20477,246.73343,263.93936,254.2476,250.31238,242.55168,251.54776,240.56055,265.31311,265.1395,258.90646,254.95064,248.90485,253.50174,242.93686,249.18921,266.9567,261.00226,264.82797,259.76602,265.89444,255.5218,249.85109,264.58081,251.87276,261.36545,245.88483,250.51492,260.38126,265.4953,247.21573,250.47884,250.98973,255.40108,256.53769,253.23065,262.34244,254.52475,256.22751,257.47238,260.62131,264.04968,259.98553,255.06139,258.01859,251.04306,246.96059,246.35698,252.62582,250.57205,250.04332,253.06529,252.00346,263.73999,256.76944,252.66888,244.98399,255.23622,261.72946,247.40131,252.71497,244.72955,264.15186,258.83356,261.02881,252.0506,253.70662,254.51213,258.63257,251.56236,248.25027,261.83124,260.15668,244.67767,257.26523,266.29462,251.29855,256.8046,261.44806,260.0163,257.41772,261.0448,256.13019,249.57231,254.81006,265.82217,250.54181,242.53009,260.25995,252.20686,243.58476,263.90396,248.353,245.14621,257.53772,262.17258,255.91066,254.74875,249.60358,260.28543,243.60817,255.54779,241.50957,262.7196,246.08699,265.47379,243.31927,253.25717,246.61562,254.03625,259.36993,264.26486,253.64859,262.0629,261.31781,264.28064,265.25058,257.64203,263.31921,265.7001,243.13272,260.8006,259.71619,254.53139,253.61081,250.42618,242.7982,242.88353,265.8736,244.0775,252.24699,264.33148,248.38626,246.17557,245.60014,243.65161,263.24954,259.03989,258.46326,242.25821,264.82932,259.59482,253.02798,251.25389,244.20108,252.90939,261.32242,255.32841,246.36197,258.11115,251.0976,261.21704,244.32689,249.8642,246.27696,243.86581,265.83813
8th grade,reading,2009,ALABAMA,58.0%,25.0%,0.4%,0.0%,14.5%,28.7%,54.8%,15.3%,0.0%,62.6%,45.8%,5.5%,7.1%,17.1%,0.0%,14.187655,98.3%,14.7%,0.0%,0.0%,255.50156,252.26274,254.11922,243.68834,263.05789,251.73106,261.59323,246.47708,257.36404,253.09573,268.99567,258.85617,245.23183,255.70369,255.83806,256.43927,264.70419,262.71127,250.14531,245.64478,240.84346,264.04861,258.48935,266.64569,269.45062,257.03186,254.01132,259.06305,254.119,259.5639,256.11844,259.87582,245.14944,265.55518,258.9346,261.90625,248.25334,254.7381,262.85571,252.56931,247.021,255.36064,260.09058,266.8826,255.44002,268.90527,249.52916,260.216,267.49933,265.72253,254.06953,259.18832,262.61487,263.13751,264.85812,263.79712,254.95821,267.48004,260.04187,255.8698,252.29564,267.55243,264.98059,246.56964,254.35277,265.27942,252.59662,250.67448,264.50735,259.28635,247.90985,266.95862,253.14996,257.02869,246.16522,258.87231,253.96609,265.11475,264.33755,268.86765,262.50604,261.74203,260.65686,258.71185,245.59871,266.89441,250.07918,266.42361,245.83908,268.09891,253.38486,261.38193,261.75015,268.28052,265.02115,269.44266,246.35257,254.48122,258.91547,247.56281,266.4165,259.03473,267.15704,246.34401,263.36652,264.14511,251.94907,246.20499,245.3994,258.17505,243.49356,246.82904,254.48703,256.53333,252.6205,255.50723,264.16605,268.18918,262.30536,260.16025,260.60864,255.601,252.0654,244.20715,257.09167,263.13397,252.41124,264.66724,247.49689,255.49551,258.3172,253.09364,247.69073,243.1906,251.43231,242.96471,247.51216,247.75969,267.46887,262.97589,259.61728,257.17114,264.69815,261.3042,257.78384,258.95001,254.0575,260.78848,255.98494,265.55405,252.68677,254.63,264.40558,267.36136,263.2587,262.87534,245.49857,263.54871,250.65279,251.67044,255.63416,253.81519,261.41101,252.71884,254.85831,267.06458,257.4024,255.91974,246.84041,262.00989,263.57413,264.20117,264.39139,263.37735,252.52557,260.46722,266.39902,257.62671,268.19861,247.69048,258.2381,253.9707,258.47858,261.17459,258.83008,267.70096,262.19705,250.28796,255.12996,244.43155,264.41174
8th grade,reading,2011,ALABAMA,78.9%,58.8%,0.0%,24.2%,2.1%,0.0%,75.5%,0.4%,0.0%,40.3%,62.0%,0.0%,1.2%,15.4%,0.0%,14.001708,52.2%,45.9%,14.0%,12.4%,268.25433,263.12888,257.80246,256.48376,262.23825,263.68118,262.7923,256.34219,262.83975,248.43886,259.40976,256.84305,253.64777,260.49765,266.82413,256.80365,259.27344,265.46887,264.12585,269.4249,250.06271,250.68266,250.94432,265.52274,269.87354,253.18407,256.66934,261.82373,260.58453,258.70486,252.30879,256.82419,268.4545,253.23264,260.2807,261.17096,249.94371,260.03201,267.75735,257.92007,254.63354,246.44965,251.40163,261.90393,249.6797,251.1041,257.35513,263.01807,260.599,269.26172,262.55646,252.53038,255.34795,265.3558,266.61606,263.89063,257.4397,272.8551,253.22148,260.48074,273.21439,259.15417,263.03574,254.93822,268.45319,258.34006,271.26871,255.15387,276.11008,270.98236,252.07822,268.3736,265.87894,255.99615,251.97037,263.95972,258.61194,273.09766,253.30945,268.47565,255.8559,266.08112,269.24698,271.9024,270.10638,260.78104,257.54138,267.43335,262.73019,259.75977,267.50891,252.15945,273.98792,272.94675,256.33139,257.6178,262.01154,263.7016,262.40607,264.78629,259.15485,247.38963,249.78574,268.74347,259.81927,247.88457,262.10028,270.12418,251.57106,256.89438,249.05861,267.58191,264.82785,262.53891,255.78345,246.21178,257.68311,265.72882,247.77238,266.33124,259.01416,268.04584,265.15033,257.19186,255.15331,256.40945,256.61703,266.12582,270.40353,255.16241,258.66162,266.65857,268.81012,263.8642,254.26648,245.64285,263.65784,264.69989,267.28796,271.0845,269.46127,256.29672,258.948,247.05096,253.33344,266.78543,247.81009,252.89391,249.38165,248.00597,269.54315,264.00836,261.47467,260.92017,262.797,265.89517,249.85384,265.89011,264.43985,270.74969,251.8349,259.46594,268.05069,252.43343,248.12914,260.5267,255.2289,265.12119,249.02634,247.42586,249.12494,261.97232,250.25948,245.98616,260.22772,261.49496,250.32008,263.31741,266.99045,263.93912,257.61121,264.60437,264.11182,266.55975,259.29642,252.50807,270.53436,263.06738,264.07993,259.95392,248.48196
8th grade,reading,2013,ALABAMA,71.0%,19.3%,15.0%,28.6%,11.5%,0.0%,21.7%,0.0%,8.2%,18.8%,62.8%,0.0%,9.8%,6.2%,0.0%,14.368812,78.7%,0.0%,14.0%,0.0%,259.58606,261.37866,260.76999,254.30734,251.41501,254.40575,254.96686,253.02234,253.2565,247.97147,264.39297,270.21472,251.12238,273.24902,270.01138,250.90054,265.05966,247.98798,244.28746,251.94739,259.14438,262.9379,254.26978,261.09381,271.62482,252.94449,249.2787,264.67065,265.12003,261.52695,249.30708,261.00858,248.75621,257.80359,260.64114,266.61823,254.65219,265.62994,247.88852,242.87198,249.77544,264.2182,248.7222,252.16821,264.52649,252.74681,253.82835,272.78677,260.63614,251.7148,269.21436,270.05374,250.39969,259.55444,262.87939,266.38269,256.73685,249.65193,260.49155,259.70047,257.26404,251.82776,264.43906,262.56235,268.43845,257.5051,267.82169,273.28021,270.35614,265.06616,269.66162,268.3483,254.47652,266.49191,253.05809,269.75949,268.25507,255.0843,271.67398,272.29495,250.97739,254.1754,257.80646,272.5173,251.21022,251.34142,249.32259,247.68069,258.43866,252.08743,255.74269,267.87167,250.23421,267.66199,260.23431,262.74008,262.13287,265.85028,262.323,250.22037,264.51505,261.25568,257.89087,261.13541,244.12314,258.16199,268.0639,259.3494,258.93076,255.65402,247.71535,252.62482,258.29059,261.3642,259.27124,250.09122,263.28268,254.42122,255.2227,250.72926,260.76541,263.6673,251.27548,253.02109,266.83676,252.05826,258.70627,266.76462,249.51472,262.75629,269.89429,266.68051,268.5267,259.66602,253.46046,254.60136,264.11603,267.2485,265.49597,265.58066,246.27095,254.97815,253.29012,258.21588,260.66809,256.21167,254.59262,246.36896,258.35803,248.79561,266.99332,244.27298,258.01456,262.12152,257.79846,268.91913,259.56485,268.57983,262.66486,248.24295,253.95599,254.94124,265.72598,270.91556,253.80714,258.99564,259.14038,251.12682,251.58919,261.3931,268.10849,261.84882,251.2742,254.01031,266.44092,249.79724,255.49147,260.56104,258.33347,245.86209,266.0228,258.84976,247.65794,265.19516,261.64548,261.71753,256.23743,258.66373,258.06586,261.45502,249.10403
8th grade,reading,2015,ALABAMA,62.9%,46.3%,0.0%,0.0%,0.0%,3.9%,67.0%,30.9%,0.0%,31.4%,37.2%,22.2%,29.5%,0.0%,0.0%,14.133957,68.4%,40.7%,0.0%,21.0%,260.99265,267.58792,260.91312,252.00545,250.67563,265.96637,254.0686,274.76266,251.25854,250.50223,268.58499,261.05597,263.47925,265.42902,265.75659,253.11816,252.45029,260.55005,254.05278,254.07027,246.27605,267.31696,267.04224,274.12744,252.9269,266.35336,261.79431,251.33548,258.68771,272.06915,268.95923,265.10928,252.49771,274.96878,258.64801,255.63857,257.09259,257.19574,259.15634,248.24605,248.90903,269.07452,268.8891,260.02411,268.81769,253.71085,266.65454,254.04498,262.05048,262.92758,262.08536,253.84093,266.6929,271.31766,272.87692,255.04442,254.35147,260.30563,260.5932,254.41231,274.80038,269.15424,266.27396,270.83945,274.72079,272.29996,263.38168,257.44638,257.00952,263.65237,258.39026,272.15231,267.84811,269.27393,258.53442,258.60065,267.63763,272.29443,267.237,254.65553,258.92508,255.91322,256.11154,274.5701,268.09073,256.37207,262.60083,271.85272,259.44748,274.20029,252.20149,257.61594,262.53461,269.65875,264.59521,256.44876,264.44672,251.4287,257.10876,246.90419,256.19785,253.08443,254.88109,255.68855,249.50594,254.78568,248.51947,268.66367,265.30847,262.08374,253.06935,248.5685,257.30167,243.75267,247.28157,266.46814,256.72891,253.19083,252.31404,252.08168,260.43665,266.41879,246.99805,252.05334,256.23996,262.37573,262.3934,261.73508,265.16031,260.995,254.30229,249.0638,267.09171,264.19876,246.98103,252.73949,257.57169,254.86426,264.67868,258.28986,251.15207,260.08362,249.72742,263.02185,258.98499,262.22873,251.1212,266.50931,266.42572,256.68866,248.62419,259.91635,250.95395,262.09213,254.11311,267.87201,250.9075,259.63437,262.90356,252.63567,270.78595,250.20563,265.79364,253.078,265.66785,255.34488,264.02444,249.92914,250.79372,248.47694,248.08736,250.66377,256.31989,246.06989,262.66724,250.04593,264.30005,261.20056,263.65714,251.81642,258.14203,264.84235,263.03036,257.4379,247.87648,257.57495,255.92931,252.33737,253.5341,254.98381,249.80145
8th grade,reading,2017,ALABAMA,47.2%,58.3%,34.5%,0.0%,0.0%,0.0%,86.3%,0.0%,0.0%,9.7%,34.3%,21.6%,0.0%,0.0%,0.0%,14.013101,0.0%,0.0%,10.5%,0.0%,252.77304,261.13297,257.11008,253.12885,246.57878,251.3335,251.68221,253.80347,257.69507,250.02725,271.30759,261.57755,262.43665,274.30423,256.25586,260.73453,256.98862,256.20255,258.2702,258.60074,252.6217,247.34079,267.28268,260.16705,260.18887,273.22665,248.21742,248.81969,251.12575,260.69601,248.11543,263.2428,273.82324,272.67722,272.78757,263.24756,260.56406,254.96135,265.46048,258.72491,262.39117,260.0668,252.78734,258.94788,260.8381,263.62665,254.50464,266.30548,258.45889,269.82681,258.67322,257.46304,262.39816,268.98734,252.67633,256.00012,260.51126,268.23962,270.13867,260.51126,261.84854,267.64661,254.15024,252.60368,273.90826,253.42522,250.83797,257.51248,252.8674,269.44199,255.44826,262.03589,267.15427,256.4433,251.97833,270.2355,256.48669,266.30212,259.41962,249.5705,260.67017,253.32402,269.73416,270.22421,270.23801,261.74561,258.84314,259.9877,260.06854,251.4861,251.57431,267.29059,263.25256,262.2507,266.18695,255.51483,269.18335,258.88937,254.6035,256.82669,267.8053,264.84268,268.88641,260.63223,255.05426,269.75354,251.49219,249.59024,270.69135,253.90984,254.43614,266.28918,249.81737,248.06395,261.582,249.54346,247.61163,249.06334,255.73499,249.87857,258.95993,248.34705,266.75061,264.323,263.93283,244.99109,247.04933,266.28824,260.0799,249.47073,259.55566,257.24615,270.85345,249.51465,261.09558,248.74002,262.56113,255.62735,267.49902,257.68863,254.66647,259.73865,271.33551,264.11862,256.11426,252.47551,260.54572,258.59338,269.5325,267.28488,266.50879,259.00928,267.92908,268.59421,256.02277,251.7515,250.50667,251.51563,269.49136,263.31128,256.15723,249.731,263.89764,270.41809,249.85141,250.08632,267.17123,262.70551,259.04254,258.40845,264.47516,255.88823,254.30147,265.50253,264.60959,255.43102,265.92676,256.18066,250.73247,268.83569,270.63339,256.86255,259.90936,251.46643,265.1232,262.12372,267.90671,267.43073,268.66852,258.65625,257.11172
